food_name,protein,carbs,fat,calories
coffee liqueur,0.041,13.8,0.038,96
gin,0.0,0.0,0.0,53
dessert wine sweet,0.2,14.1,0.0,165
chenin blanc white wine,0.1,4.9,0.0,118
gamay red wine,0.1,3.5,0.0,115
late harvest white wine,0.1,20.6,0.0,172
gewurztraminer white wine,0.1,3.8,0.0,119
burgundy red wine,0.1,7.4,0.0,172
zinfandel red wine,0.1,4.2,0.0,129
muller thurgau white wine,0.1,5.2,0.0,112
mouvedre red wine,0.1,3.9,0.0,129
table wine,0.1,4.0,0.0,123
wine light,0.1,1.7,0.0,73
white wine,0.1,3.8,0.0,121
petite sirah red wine,0.1,3.9,0.0,125
non alcoholic wine,0.1,0.3,0.0,2
pinot noir red wine,0.1,3.4,0.0,121
pinot gris grigio white wine,0.1,3.0,0.0,122
riesling white wine,0.1,5.5,0.0,118
barbera red wine,0.1,5.6,0.0,170
lemberger red wine,0.1,3.6,0.0,118
merlot red wine,0.1,3.7,0.0,122
sangiovese red wine,0.1,3.9,0.0,126
sauvignon blanc white wine,0.1,3.0,0.0,119
syrah red wine,0.1,3.8,0.0,122
carignane red wine,0.4,12.0,0.0,370
pinot blanc white wine,0.1,2.9,0.0,119
semillon white wine,0.1,4.6,0.0,121
dessert wine dry,1.0,58.4,0.0,760
red wine,0.1,3.8,0.0,125
cabernet sauvignon red wine,0.1,5.2,0.0,166
muscat white wine,0.1,7.8,0.0,123
cooking wine,0.028,0.3,0.0,2
chardonnay white wine,0.1,4.3,0.0,168
claret red wine,0.1,4.4,0.0,122
rice sake,0.7,7.4,0.0,197
fume blanc white wine,0.1,3.3,0.0,121
cabarnet franc red wine,0.1,3.6,0.0,122
chocolate frosting,0.2,13.0,3.6,81
white sugar,0.0,5.0,0.0,19
egg substitute,24.0,4.8,0.0,115
agave syrup,0.025,5.3,0.081,21
splenda sweetener,0.0,91.2,0.0,336
vanilla extract,0.0,0.5,0.069,12
egg yolk dried,1.3,0.054,2.3,27
granulated sugar,0.0,4.2,0.0,16
baking chocolate,3.7,8.7,15.2,145
bakers yeast,1.4,3.1,0.3,18
fondant,0.0,26.4,0.009,106
